state,district,biometric_ratio,demo_ratio,severity,performance,interpretation
Meghalaya,East Khasi Hills,0.9642087106511428,1.334411384217335,2.298620094868478,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Andhra Pradesh,K.V. Rangareddy,1.6,0.8,2.4000000000000004,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Uttar Pradesh,Jyotiba Phule Nagar,0.875,1.5416666666666667,2.416666666666667,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Andhra Pradesh,K.V.Rangareddy,1.0,1.5,2.5,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Uttar Pradesh,Sant Ravidas Nagar Bhadohi,0.75,1.75,2.5,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Dima Hasao,0.5,2.0,2.5,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
West Bengal,Hugli,1.1875,1.375,2.5625,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Jagatsinghapur,2.0,0.6,2.6,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Bihar,Samstipur,1.5,1.1,2.6,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Meghalaya,West Jaintia Hills,1.154074074074074,1.625925925925926,2.7800000000000002,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Arunachal Pradesh,Longding,1.2012448132780082,1.5850622406639003,2.7863070539419086,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Uttar Pradesh,Bulandshahar,1.1228070175438596,1.7543859649122806,2.8771929824561404,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Sundargarh,1.4285714285714286,1.4642857142857142,2.892857142857143,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Bihar,Purba Champaran,1.0,1.9090909090909092,2.909090909090909,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Bihar,Aurangabad(Bh),1.2666666666666666,1.6666666666666667,2.9333333333333336,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Meghalaya,East Garo Hills,0.6139169472502806,2.3434343434343434,2.957351290684624,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Gujarat,Banas Kantha,1.3623188405797102,1.608695652173913,2.971014492753623,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Meghalaya,North Garo Hills,0.6969026548672567,2.3429203539823007,3.0398230088495573,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Meghalaya,Ri Bhoi,1.1561155500921942,1.9170251997541488,3.073140749846343,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Jajapur,1.6216216216216217,1.4594594594594594,3.081081081081081,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Meghalaya,West Khasi Hills,0.875,2.2390552995391704,3.1140552995391704,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Gadag *,1.7941176470588236,1.3676470588235294,3.1617647058823533,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Kendujhar,1.6,1.6,3.2,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Gujarat,Surendranagar,1.5348837209302326,1.744186046511628,3.2790697674418605,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Tamil Nadu,Mayiladuthurai,1.7232704402515724,1.559748427672956,3.2830188679245285,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Meghalaya,South West Khasi Hills,1.7473498233215548,1.5547703180212014,3.302120141342756,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Bihar,Sheikpura,1.8461538461538463,1.4615384615384615,3.3076923076923075,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Jammu and Kashmir,Kargil,1.982843137254902,1.375,3.357843137254902,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Agar Malwa,1.8941176470588235,1.4918767507002801,3.3859943977591036,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Meghalaya,East Jaintia Hills,1.4453227931488801,1.9472990777338604,3.3926218708827403,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Chhattisgarh,Janjgir - Champa,2.0,1.4,3.4,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Bagalkot *,1.7640449438202248,1.6629213483146068,3.4269662921348316,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Bihar,Pashchim Champaran,1.35,2.1,3.45,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
West Bengal,Purba Bardhaman,1.0669456066945606,2.3980872683801553,3.4650328750747157,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Bengaluru South,0.5238095238095238,3.0,3.5238095238095237,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Haveri *,1.9821428571428572,1.5535714285714286,3.5357142857142856,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Chamrajnagar,1.7304964539007093,1.8368794326241136,3.5673758865248226,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Rajasthan,Deeg,0.5714285714285714,3.0,3.571428571428571,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Telangana,Jangaon,1.069767441860465,2.511627906976744,3.5813953488372094,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Dhenkanal,1.9189189189189189,1.6756756756756757,3.5945945945945947,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Kendrapara,2.2,1.4,3.6,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Gujarat,Sabar Kantha,2.3333333333333335,1.288888888888889,3.6222222222222227,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Ladakh,Kargil,1.8596491228070176,1.7964912280701755,3.656140350877193,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Maharashtra,Raigarh(Mh),1.8484848484848484,1.8181818181818181,3.6666666666666665,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Pandhurna,1.3333333333333333,2.380952380952381,3.7142857142857144,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Kerala,Kasargod,2.0258620689655173,1.7155172413793103,3.7413793103448274,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Nayagarh,2.2580645161290325,1.4838709677419355,3.741935483870968,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Himachal Pradesh,Lahul & Spiti,3.0,0.75,3.75,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Baleshwar,1.981651376146789,1.7798165137614679,3.761467889908257,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Tamil Nadu,Thiruvallur,1.811764705882353,1.9529411764705882,3.764705882352941,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Mizoram,Mammit,1.4,2.3714285714285714,3.7714285714285714,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Chamarajanagar,2.2523364485981308,1.5700934579439252,3.822429906542056,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Niwari,2.0,1.9019607843137254,3.9019607843137254,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Gujarat,Dohad,2.266358737490377,1.6812933025404158,3.9476520400307926,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Uttarakhand,Hardwar,1.8727272727272728,2.1272727272727274,4.0,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Rayagada,1.7311827956989247,2.2795698924731185,4.010752688172043,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Sonitpur,1.416257328474093,2.61036285850103,4.026620186975123,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Udupi,1.8787382220401474,2.1569029086439984,4.035641130684146,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Nagaland,Chumukedima,0.9230769230769231,3.1153846153846154,4.038461538461538,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Tripura,Dhalai  *,0.95,3.1,4.05,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Malkangiri,1.7857142857142858,2.2857142857142856,4.071428571428571,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Chikmagalur,1.8085106382978724,2.3191489361702127,4.127659574468085,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Karimganj,1.832687338501292,2.3537467700258397,4.1864341085271315,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Jammu and Kashmir,Doda,3.0199631449631448,1.1692260442260443,4.1891891891891895,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Rajasthan,Dhaulpur,1.7564102564102564,2.4871794871794872,4.243589743589744,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Narmadapuram,1.5964912280701755,2.655701754385965,4.25219298245614,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
West Bengal,Jhargram,1.2735426008968609,2.9820627802690582,4.255605381165919,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Koraput,2.411764705882353,1.8529411764705883,4.264705882352941,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Puducherry,Yanam,1.9148936170212767,2.382978723404255,4.297872340425532,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
West Bengal,Kalimpong,1.0471698113207548,3.2735849056603774,4.320754716981132,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Tamil Nadu,Ranipet,1.2142857142857142,3.142857142857143,4.357142857142857,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
NCT of Delhi,Najafgarh,2.16,2.2,4.36,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Chhattisgarh,Bijapur,2.6831816649814626,1.7104819683181665,4.393663633299629,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Umaria,2.4645421903052065,1.9425493716337523,4.407091561938959,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Narsimhapur,2.540256709451575,1.8868144690781796,4.427071178529754,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Kamrup Metro,1.8753757857338071,2.5629953539218366,4.438371139655644,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Goalpara,1.745842889908257,2.6982511467889907,4.444094036697248,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Gujarat,Morbi,2.219178082191781,2.241546731402809,4.46072481359459,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Mandsaur,2.4784755438975465,1.984415985187471,4.4628915290850175,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Rajasthan,Chittaurgarh,1.9642857142857142,2.5,4.464285714285714,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Bargarh,1.9767441860465116,2.488372093023256,4.465116279069767,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Sikkim,South Sikkim,1.5053763440860215,2.978494623655914,4.483870967741936,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Gujarat,Panch Mahals,2.4166666666666665,2.0833333333333335,4.5,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Arunachal Pradesh,Siang,2.364864864864865,2.175675675675676,4.54054054054054,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Uttarakhand,Garhwal,2.032258064516129,2.5161290322580645,4.548387096774194,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
West Bengal,Paschim Bardhaman,1.480263157894737,3.0921052631578947,4.572368421052632,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,West Nimar,2.904076738609113,1.671462829736211,4.575539568345324,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Nagaland,Kiphire,2.7892561983471076,1.787190082644628,4.5764462809917354,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,East Nimar,3.075273168757588,1.5058680696074465,4.581141238365035,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Manipur,Pherzawl,0.6666666666666666,4.0,4.666666666666667,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Hojai,2.092734388293347,2.5756338267823717,4.668368215075718,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Hasan,2.0157170923379173,2.658153241650295,4.673870333988212,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Haryana,Yamunanagar,2.574468085106383,2.106382978723404,4.680851063829786,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Puri,1.9545454545454546,2.727272727272727,4.681818181818182,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Vijayanagara,1.8252853380158034,2.870939420544337,4.69622475856014,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Himachal Pradesh,Kinnaur,2.2388059701492535,2.4776119402985075,4.7164179104477615,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Darrang,1.8567539267015707,2.8764397905759163,4.733193717277487,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Vijayapura,2.504367357125031,2.234090341901672,4.7384576990267036,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Meghalaya,West Garo Hills,2.092902711323764,2.6523125996810206,4.7452153110047846,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Odisha,Anugul,2.0843373493975905,2.6626506024096384,4.746987951807229,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Yadgir,2.722314507198228,2.0379291251384273,4.760243632336655,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Davanagere,2.9530516431924885,1.8309859154929577,4.784037558685446,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Jammu and Kashmir,Badgam,2.1019108280254777,2.7017950202663576,4.803705848291836,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Hailakandi,1.9186317698885722,2.917595231925369,4.836227001813941,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Belagavi,2.5240793201133145,2.3348846620801296,4.858963982193444,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Maharashtra,Dharashiv,1.0833333333333333,3.7777777777777777,4.861111111111111,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Maharashtra,Mumbai( Sub Urban ),2.6256410256410256,2.2615384615384615,4.887179487179488,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Sibsagar,1.6906005221932114,3.202349869451697,4.892950391644908,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Lakshadweep,Lakshadweep,3.2169811320754715,1.7264150943396226,4.943396226415095,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Neemuch,2.667372881355932,2.281779661016949,4.949152542372881,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Andhra Pradesh,Bapatla,1.7988826815642458,3.1620111731843576,4.960893854748603,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Kamrup,1.9749697214372224,2.986812003767999,4.961781725205221,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2.0176678445229683,2.950530035335689,4.968197879858657,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Nalbari,2.5493806494810847,2.4476062939404084,4.9969869434214935,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Arunachal Pradesh,Dibang Valley,3.5,1.5,5.0,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Khordha,3.118811881188119,1.900990099009901,5.01980198019802,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Odisha,Khordha,2.6613756613756614,2.380952380952381,5.042328042328043,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
West Bengal,Alipurduar,1.3075933075933075,3.7451737451737452,5.052767052767052,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Andaman and Nicobar Islands,Andamans,2.90625,2.1875,5.09375,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Chikkamagaluru,2.6064981949458486,2.509025270758123,5.115523465703971,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Dadra and Nagar Haveli and Daman and Diu,Dadra & Nagar Haveli,3.4705882352941178,1.6470588235294117,5.117647058823529,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Mizoram,Mamit,2.8850574712643677,2.264367816091954,5.149425287356322,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Shajapur,3.4218515429524605,1.7317764804003337,5.153628023352795,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Odisha,Sundargarh,2.5321637426900585,2.6374269005847952,5.169590643274853,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Gadag,2.6798957126303593,2.500289687137891,5.18018539976825,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Harda *,3.8583690987124464,1.3369098712446352,5.195278969957082,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Mysuru,2.6202872531418313,2.59245960502693,5.212746858168762,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Tinsukia,1.3556295399515739,3.86228813559322,5.217917675544794,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Tamil Nadu,Kallakurichi,1.5395095367847411,3.7002724795640325,5.239782016348774,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Panna,3.168175937904269,2.0757379748324123,5.243913912736682,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Ballari,3.137685459940653,2.1091988130563797,5.246884272997033,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Rajasthan,Jhunjhunu,2.3893805309734515,2.8584070796460175,5.2477876106194685,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Tripura,Unakoti,3.076923076923077,2.173076923076923,5.25,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Uttar Pradesh,Ayodhya,1.5520661157024793,3.700826446280992,5.252892561983471,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Mauganj,1.4342105263157894,3.8322368421052633,5.266447368421053,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Meghalaya,South West Garo Hills,2.184576485461441,3.0872313527180784,5.2718078381795195,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Mizoram,Lawngtlai,3.098752598752599,2.183991683991684,5.282744282744282,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Andhra Pradesh,Karim Nagar,3.2564102564102564,2.051282051282051,5.3076923076923075,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Jorhat,2.2220029600394673,3.088307844104588,5.310310804144056,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Ujjain,3.480795777507105,1.8354039788875356,5.31619975639464,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Udalguri,2.5748427672955976,2.742138364779874,5.316981132075472,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Andhra Pradesh,Anakapalli,1.9925093632958801,3.344569288389513,5.337078651685394,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Bhadrak,2.9473684210526314,2.3976608187134505,5.345029239766082,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Maihar,1.5615384615384615,3.796153846153846,5.357692307692307,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Khandwa,3.5645719940623453,1.7956457199406235,5.360217714002969,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Tamulpur District,1.125,4.25,5.375,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Jharkhand,Sahibganj,2.0825082508250827,3.3036303630363038,5.3861386138613865,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Mizoram,Saiha,2.6141732283464565,2.7992125984251968,5.413385826771654,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Himachal Pradesh,Hamirpur,3.466973886328725,1.9539170506912442,5.420890937019969,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Odisha,Jajpur,2.976350019708317,2.447378793851005,5.423728813559322,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Hoshangabad,4.320419520547945,1.1419092465753424,5.462328767123288,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Chhatarpur,3.037040006413854,2.430289425158342,5.467329431572196,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Ladakh,Leh,2.1956521739130435,3.2934782608695654,5.489130434782609,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Jammu and Kashmir,Reasi,3.425339366515837,2.0671191553544497,5.492458521870287,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Karnataka,Tumakuru,2.8779038357644517,2.6185845488924904,5.496488384656942,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Assam,Sribhumi,0.9655172413793104,4.551724137931035,5.517241379310345,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Harda,4.246228448275862,1.3227370689655173,5.568965517241379,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Orissa,Ganjam,2.5665024630541873,3.0147783251231526,5.58128078817734,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Arunachal Pradesh,Kra Daadi,2.7777777777777777,2.8095238095238093,5.587301587301587,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Jharkhand,Giridih,2.3566186463712966,3.237111533931322,5.593730180302618,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Jhabua,2.8981695123827103,2.7389632364251653,5.6371327488078755,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Gujarat,Devbhumi Dwarka,3.2246941045606228,2.4304783092324804,5.655172413793103,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Tamil Nadu,Tirupattur,2.918918918918919,2.7364864864864864,5.655405405405405,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Maharashtra,Nandurbar *,4.428571428571429,1.2653061224489797,5.6938775510204085,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Sikkim,West Sikkim,1.8026315789473684,3.901315789473684,5.703947368421052,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Narsinghpur,3.761075600617148,1.9673793255455148,5.728454926162662,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Sikkim,East Sikkim,2.4128440366972477,3.330275229357798,5.743119266055046,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Katni,3.153314917127072,2.6200594985125374,5.773374415639609,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Mandla,2.889177939646202,2.9058272632674296,5.795005202913631,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Andhra Pradesh,Parvathipuram Manyam,2.6666666666666665,3.161812297734628,5.828478964401294,Excellent,Low update pressure relative to enrolments. Aadhaar processes are highly stable.
Madhya Pradesh,Morena,3.009702278649443,2.8234185285801408,5.833120807229584,Good,Balanced enrolments and updates. Aadhaar services functioning well.
Uttar Pradesh,Barabanki,1.9912280701754386,3.845029239766082,5.83625730994152,Good,Balanced enrolments and updates. Aadhaar services functioning well.
Karnataka,Bijapur,3.155922515084154,2.6957764369641155,5.851698952048269,Good,Balanced enrolments and updates. Aadhaar services functioning well.
Karnataka,Shimoga,3.0759052924791086,2.7764623955431755,5.852367688022284,Good,Balanced enrolments and updates. Aadhaar services functioning well.
Karnataka,Uttara Kannada,2.8432007400555044,3.0106382978723403,5.853839037927845,Good,Balanced enrolments and updates. Aadhaar services functioning well.
Arunachal Pradesh,Lower Siang,3.2222222222222223,2.6666666666666665,5.888888888888889,Good,Balanced enrolments and updates. Aadhaar services functioning well.
Rajasthan,Jalor,3.967703735601249,1.9225966196576596,5.890300355258908,Good,Balanced enrolments and updates. Aadhaar services functioning well.
Madhya Pradesh,Datia,2.638200374921891,3.252239116850656,5.890439491772547,Good,Balanced enrolments and updates. Aadhaar services functioning well.
